Item,BIB ID,Title,Author,Call Number,Number of Loans in 2025,Notes,URL in HKPL online catalogue
1,3239694,The fellowship of the ring: being the first part of The lord of the rings,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973",F TOL,839,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3239694
2,3596789,The midnight library,"Haig, Matt, 1975-",F HAI,762, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3596789
3,3601361,To kill a mockingbird,"Lee, Harper",F LEE,733,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3601361
4,2300215,The five people you meet in heaven,"Albom, Mitch, 1958-",F ALB,726, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:2300215
5,3239705,"The hobbit, or, There and back again","Tolkien, J. R. R. (John Ronald Reuel), 1892-1973",F TOL,719,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3239705
6,3290171,The Great Gatsby,"Fitzgerald, F. Scott (Francis Scott), 1896-1940",F FIT,702,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3290171
7,3323612,Murder on the Orient Express,"Christie, Agatha, 1890-1976",F CHR,604,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3323612
8,2090855,The catcher in the rye,"Salinger, J. D. (Jerome David), 1919-2010",F SAL,601,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2090855
9,3557202,"The great Dune trilogy: Dune, Dune messiah, Children of Dune","Herbert, Frank",F HER,587,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3557202
10,3395449,Animal farm: a fairy story,"Orwell, George, 1903-1950",F ORW,579,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3395449
11,2980251,Nineteen eighty-four,"Orwell, George, 1903-1950",F ORW,554,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2980251
12,3740761,Pride & prejudice,"Austen, Jane, 1775-1817.",F AUS,526,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3740761
13,3467849,And then there were none,"Christie, Agatha, 1890-1976",F CHR,520,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3467849
14,3524485,The next person you meet in Heaven,"Albom, Mitch, 1958-",F ALB,516,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3524485
15,3716832,Next in line,"Archer, Jeffrey, 1940-",F ARC,488, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3716832
16,3345104,Death on the Nile,"Christie, Agatha, 1890-1976",YF CHR,451,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3345104
17,3224541,The adventures of Sherlock Holmes,"Doyle, Arthur Conan, 1859-1930.",F DOY,451,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3224541
18,3323596,The ABC murders,"Christie, Agatha, 1890-1976",F CHR,430,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3323596
19,3304979,All the light we cannot see: a novel,"Doerr, Anthony, 1973-",F DOE,415,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3304979
20,3221134,The time keeper,"Albom, Mitch, 1958-",F ALB,408, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3221134
21,3357860,The curious incident of the dog in the night-time,"Haddon, Mark, 1962-",F HAD,405,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3357860
22,3497208,Little women and good wives,"Alcott, Louisa May, 1832-1888",F ALC,395,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3497208
23,3641615,The stranger in the lifeboat: a novel,"Albom, Mitch, 1958-",F ALB,382, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3641615
24,2622290,Wuthering Heights,"Brontë, Emily, 1818-1848.",F BRO,381,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2622290
25,3595673,Anxious people: a novel,"Backman, Fredrik, 1981-",F BAC,378, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3595673
26,3541901,A Christmas carol,"Dickens, Charles, 1812-1870.",F DIC,372,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3541901
27,3543739,Normal people: a novel,"Rooney, Sally",F ROO,369,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3543739
28,3323615,The mysterious affair at Styles,"Christie, Agatha, 1890-1976",F CHR,360,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3323615
29,3715203,The little liar: a novel,"Albom, Mitch, 1958-",F ALB,359, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3715203
30,3539270,The silent patient,"Michaelides, Alex, 1977-",F MIC,345, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3539270
31,2696331,For one more day,"Albom, Mitch, 1958-",F ALB,344,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2696331
32,3164375,Never let me go,"Ishiguro, Kazuo, 1954-",F ISH,336,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3164375
33,3267184,Lord of the flies,"Golding, William, 1911-1993",F GOL,335,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3267184
34,3652392,Lessons in chemistry,"Garmus, Bonnie.",F GAR,332, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3652392
35,3323326,Five little pigs,"Christie, Agatha, 1890-1976",F CHR,326,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3323326
36,2368433,The kite runner,"Hosseini, Khaled",F HOS,325,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2368433
37,2493093,The Da Vinci code,"Brown, Dan, 1964-",F BRO,320,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2493093
38,3744565,The life impossible,"Haig, Matt, 1975-",F HAI,316, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3744565
39,3611223,Klara and the sun,"Ishiguro, Kazuo, 1954-",F ISH,314, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3611223
40,3650442,The Thursday murder club,"Osman, Richard, 1970-",F OSM,311,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3650442
41,3476707,Origin: a novel,"Brown, Dan, 1964-",F BRO,310,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3476707
42,3339502,The Joy Luck Club,"Tan, Amy",F TAN,301,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3339502
43,3223863,A study in scarlet,"Doyle, Arthur Conan, 1859-1930.",F DOY,299,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3223863
44,3661861,"Tomorrow, and tomorrow, and tomorrow","Zevin, Gabrielle",F ZEV,292, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3661861
45,3566452,A man called Ove: a novel,"Backman, Fredrik, 1981-",F BAC,291,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3566452
46,3188319,Life of Pi,"Martel, Yann",F MAR,287,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3188319
47,3695916,Yellowface: a novel,"Kuang, R. F. (Rebecca F.)",F KUA,286, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3695916
48,2625993,The old man and the sea,"Hemingway, Ernest, 1899-1961",F HEM,285,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2625993
49,3694578,Crime and punishment,"Dostoyevsky, Fyodor, 1821-1881",F DOS,278,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3694578
50,3541889,Oliver Twist,"Dickens, Charles, 1812-1870.",F DIC,278,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3541889
51,3528506,Crazy rich Asians,"Kwan, Kevin",F KWA,274,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3528506
52,3418493,Me before you,"Moyes, Jojo, 1969-",F MOY,274,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3418493
53,3711929,The exchange: after The Firm,"Grisham, John",F GRI,273, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3711929
54,2508717,The new annotated Sherlock Holmes,"Doyle, Arthur Conan, 1859-1930.",F DOY,272, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:2508717
55,3448394,The handmaid's tale,"Atwood, Margaret",F ATW,271, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3448394
56,3674799,A tale of two cities,"Dickens, Charles, 1812-1870.",F DIC,265,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3674799
57,3166271,The remains of the day,"Ishiguro, Kazuo, 1954-",F ISH,265,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3166271
58,3617569,Brave new world,"Huxley, Aldous, 1894-1963",F HUX,262,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3617569
